"Station.ID","Date.EST","param","Units","HalfMDL","source"
"PI-02",2007-03-27,"TKN","mg/L",0.39,"Lee County"
"PI-02",2007-03-27,"TN","mg/L",0.4,"Lee County"
"PI-02",2007-03-27,"TOC","mg/L",4.75,"Lee County"
"PI-02",2007-03-27,"TP","mg/L",0.04,"Lee County"
"PI-02",2007-03-27,"TSS","mg/L",5,"Lee County"
"PI-02",2007-03-27,"Turb","NTU",0.67,"Lee County"
"PI-02",2007-04-23,"Chla","ug/L",1.9,"Lee County"
"PI-02",2007-04-23,"color","PCU",23.4,"Lee County"
"PI-02",2007-04-23,"DO.mgL","mg/L",7.9,"Lee County"
"PI-02",2007-04-23,"K.par","1/m",0.726,"Lee County"
"PI-02",2007-04-23,"NOx","mg/L",0.005,"Lee County"
"PI-02",2007-04-23,"Pheo","ug/L",0.25,"Lee County"
"PI-02",2007-04-23,"sal","PSU",34.7,"Lee County"
"PI-02",2007-04-23,"secchi","meters",NA,"Lee County"
"PI-02",2007-04-23,"SPC","uS/cm",52600,"Lee County"
"PI-02",2007-04-23,"TKN","mg/L",0.45,"Lee County"
"PI-02",2007-04-23,"TN","mg/L",0.46,"Lee County"
"PI-02",2007-04-23,"TOC","mg/L",4.24,"Lee County"
"PI-02",2007-04-23,"TP","mg/L",0.039,"Lee County"
"PI-02",2007-04-23,"TSS","mg/L",7.75,"Lee County"
"PI-02",2007-04-23,"Turb","NTU",1.12,"Lee County"
"PI-02",2007-05-15,"Chla","ug/L",1.6,"Lee County"
"PI-02",2007-05-15,"color","PCU",1.64,"Lee County"
"PI-02",2007-05-15,"DO.mgL","mg/L",5.1,"Lee County"
"PI-02",2007-05-15,"K.par","1/m",0.906,"Lee County"
"PI-02",2007-05-15,"NOx","mg/L",0.02,"Lee County"
"PI-02",2007-05-15,"Pheo","ug/L",1.1,"Lee County"
"PI-02",2007-05-15,"sal","PSU",36.1,"Lee County"
"PI-02",2007-05-15,"secchi","meters",NA,"Lee County"
"PI-02",2007-05-15,"SPC","uS/cm",54600,"Lee County"
"PI-02",2007-05-15,"TKN","mg/L",0.28,"Lee County"
"PI-02",2007-05-15,"TN","mg/L",0.3,"Lee County"
"PI-02",2007-05-15,"TOC","mg/L",4.08,"Lee County"
"PI-02",2007-05-15,"TP","mg/L",0.054,"Lee County"
"PI-02",2007-05-15,"TSS","mg/L",10,"Lee County"
"PI-02",2007-05-15,"Turb","NTU",1.3,"Lee County"
"PI-02",2007-06-26,"Chla","ug/L",2.3,"Lee County"
"PI-02",2007-06-26,"color","PCU",7.32,"Lee County"
"PI-02",2007-06-26,"DO.mgL","mg/L",4.6,"Lee County"
"PI-02",2007-06-26,"K.par","1/m",1.118,"Lee County"
"PI-02",2007-06-26,"NOx","mg/L",0.005,"Lee County"
"PI-02",2007-06-26,"Pheo","ug/L",0.7,"Lee County"
"PI-02",2007-06-26,"sal","PSU",36.9,"Lee County"
"PI-02",2007-06-26,"secchi","meters",NA,"Lee County"
"PI-02",2007-06-26,"SPC","uS/cm",55800,"Lee County"
"PI-02",2007-06-26,"TKN","mg/L",0.51,"Lee County"
"PI-02",2007-06-26,"TN","mg/L",0.52,"Lee County"
"PI-02",2007-06-26,"TOC","mg/L",4.53,"Lee County"
"PI-02",2007-06-26,"TP","mg/L",0.051,"Lee County"
"PI-02",2007-06-26,"TSS","mg/L",5.75,"Lee County"
"PI-02",2007-06-26,"Turb","NTU",1.05,"Lee County"
"PI-02",2007-07-17,"Chla","ug/L",2.8,"Lee County"
"PI-02",2007-07-17,"color","PCU",7.31,"Lee County"
"PI-02",2007-07-17,"DO.mgL","mg/L",3.5,"Lee County"
"PI-02",2007-07-17,"K.par","1/m",1.017,"Lee County"
"PI-02",2007-07-17,"NOx","mg/L",0.005,"Lee County"
"PI-02",2007-07-17,"Pheo","ug/L",0.25,"Lee County"
"PI-02",2007-07-17,"sal","PSU",35.2,"Lee County"
"PI-02",2007-07-17,"secchi","meters",NA,"Lee County"
"PI-02",2007-07-17,"SPC","uS/cm",53600,"Lee County"
"PI-02",2007-07-17,"TKN","mg/L",0.5,"Lee County"
"PI-02",2007-07-17,"TN","mg/L",0.51,"Lee County"
"PI-02",2007-07-17,"TOC","mg/L",5.38,"Lee County"
"PI-02",2007-07-17,"TP","mg/L",0.052,"Lee County"
"PI-02",2007-07-17,"TSS","mg/L",15,"Lee County"
"PI-02",2007-07-17,"Turb","NTU",0.99,"Lee County"
"PI-02",2007-08-07,"Chla","ug/L",4.6,"Lee County"
"PI-02",2007-08-07,"color","PCU",8.7,"Lee County"
"PI-02",2007-08-07,"DO.mgL","mg/L",4,"Lee County"
"PI-02",2007-08-07,"K.par","1/m",0.878,"Lee County"
"PI-02",2007-08-07,"NOx","mg/L",0.005,"Lee County"
"PI-02",2007-08-07,"Pheo","ug/L",0.25,"Lee County"
